Census Year,Subject population,Age group of parent,Sex of parent,Territorial authority,Territorial authority Code,Unit,Value,Value Unit,Value Label,Null Reason
2018,One parent with dependent child(ren) families in occupied private dwellings,35-44,Female,New Zealand,Total New Zealand,Percentage,33.1869406695393,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,45-54,Total,New Zealand,Total New Zealand,Count,35682,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,45-54,Male,New Zealand,Total New Zealand,Count,7557,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,45-54,Female,New Zealand,Total New Zealand,Count,28125,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,45-54,Total,New Zealand,Total New Zealand,Percentage,27.075508206424,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,45-54,Male,New Zealand,Total New Zealand,Percentage,32.6084142394822,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,45-54,Female,New Zealand,Total New Zealand,Percentage,25.8949287371561,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,55-64,Total,New Zealand,Total New Zealand,Count,7485,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,55-64,Male,New Zealand,Total New Zealand,Count,2529,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,55-64,Female,New Zealand,Total New Zealand,Count,4956,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,55-64,Total,New Zealand,Total New Zealand,Percentage,5.6796193858271,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,55-64,Male,New Zealand,Total New Zealand,Percentage,10.9126213592233,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,55-64,Female,New Zealand,Total New Zealand,Percentage,4.5630317092034,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,65-74,Total,New Zealand,Total New Zealand,Count,1689,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,65-74,Male,New Zealand,Total New Zealand,Count,585,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,65-74,Female,New Zealand,Total New Zealand,Count,1104,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,65-74,Total,New Zealand,Total New Zealand,Percentage,1.2816135127137,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,65-74,Male,New Zealand,Total New Zealand,Percentage,2.5242718446602,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,65-74,Female,New Zealand,Total New Zealand,Percentage,1.0164622693625,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,75-84,Total,New Zealand,Total New Zealand,Count,495,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,75-84,Male,New Zealand,Total New Zealand,Count,144,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,75-84,Female,New Zealand,Total New Zealand,Count,351,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,75-84,Total,New Zealand,Total New Zealand,Percentage,0.3756060916479,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,75-84,Male,New Zealand,Total New Zealand,Percentage,0.621359223301,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,75-84,Female,New Zealand,Total New Zealand,Percentage,0.3231687106397,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,85-*,Total,New Zealand,Total New Zealand,Count,102,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,85-*,Male,New Zealand,Total New Zealand,Count,33,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,85-*,Female,New Zealand,Total New Zealand,Count,72,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,85-*,Total,New Zealand,Total New Zealand,Percentage,0.077397618885,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,85-*,Male,New Zealand,Total New Zealand,Percentage,0.1423948220065,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,85-*,Female,New Zealand,Total New Zealand,Percentage,0.0662910175671,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,Total,Total,Far North,Far North District,Count,2286,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,Total,Male,Far North,Far North District,Count,447,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,Total,Female,Far North,Far North District,Count,1836,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,Total,Total,Far North,Far North District,Percentage,100,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,Total,Male,Far North,Far North District,Percentage,100,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,Total,Female,Far North,Far North District,Percentage,100,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,*-24,Total,Far North,Far North District,Count,231,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,*-24,Male,Far North,Far North District,Count,39,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,*-24,Female,Far North,Far North District,Count,195,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,*-24,Total,Far North,Far North District,Percentage,10.1049868766404,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,*-24,Male,Far North,Far North District,Percentage,8.7248322147651,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,*-24,Female,Far North,Far North District,Percentage,10.6209150326797,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,25-34,Total,Far North,Far North District,Count,606,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,25-34,Male,Far North,Far North District,Count,78,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,25-34,Female,Far North,Far North District,Count,528,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,25-34,Total,Far North,Far North District,Percentage,26.509186351706,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,25-34,Male,Far North,Far North District,Percentage,17.4496644295302,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,25-34,Female,Far North,Far North District,Percentage,28.7581699346405,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,35-44,Total,Far North,Far North District,Count,618,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,35-44,Male,Far North,Far North District,Count,111,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,35-44,Female,Far North,Far North District,Count,507,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,35-44,Total,Far North,Far North District,Percentage,27.0341207349081,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,35-44,Male,Far North,Far North District,Percentage,24.8322147651007,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,35-44,Female,Far North,Far North District,Percentage,27.6143790849673,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,45-54,Total,Far North,Far North District,Count,585,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,45-54,Male,Far North,Far North District,Count,141,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,45-54,Female,Far North,Far North District,Count,444,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,45-54,Total,Far North,Far North District,Percentage,25.5905511811024,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,45-54,Male,Far North,Far North District,Percentage,31.5436241610738,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,45-54,Female,Far North,Far North District,Percentage,24.1830065359477,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,55-64,Total,Far North,Far North District,Count,168,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,55-64,Male,Far North,Far North District,Count,51,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,55-64,Female,Far North,Far North District,Count,114,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,55-64,Total,Far North,Far North District,Percentage,7.3490813648294,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,55-64,Male,Far North,Far North District,Percentage,11.4093959731544,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,55-64,Female,Far North,Far North District,Percentage,6.2091503267974,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,65-74,Total,Far North,Far North District,Count,51,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,65-74,Male,Far North,Far North District,Count,15,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,65-74,Female,Far North,Far North District,Count,39,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,65-74,Total,Far North,Far North District,Percentage,2.2309711286089,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,65-74,Male,Far North,Far North District,Percentage,3.3557046979866,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,65-74,Female,Far North,Far North District,Percentage,2.1241830065359,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,75-84,Total,Far North,Far North District,Count,24,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,75-84,Male,Far North,Far North District,Count,12,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,75-84,Female,Far North,Far North District,Count,12,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,75-84,Total,Far North,Far North District,Percentage,1.0498687664042,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,75-84,Male,Far North,Far North District,Percentage,2.6845637583893,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,75-84,Female,Far North,Far North District,Percentage,0.6535947712418,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,85-*,Total,Far North,Far North District,Count,3,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,85-*,Male,Far North,Far North District,Count,0,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,85-*,Female,Far North,Far North District,Count,3,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,85-*,Total,Far North,Far North District,Percentage,0.1312335958005,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,85-*,Male,Far North,Far North District,Percentage,0,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,85-*,Female,Far North,Far North District,Percentage,0.1633986928105,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,Total,Total,Whangārei,Whangarei District,Count,3150,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,Total,Male,Whangārei,Whangarei District,Count,531,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,Total,Female,Whangārei,Whangarei District,Count,2619,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,Total,Total,Whangārei,Whangarei District,Percentage,100,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,Total,Male,Whangārei,Whangarei District,Percentage,100,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,Total,Female,Whangārei,Whangarei District,Percentage,100,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,*-24,Total,Whangārei,Whangarei District,Count,270,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,*-24,Male,Whangārei,Whangarei District,Count,33,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,*-24,Female,Whangārei,Whangarei District,Count,234,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,*-24,Total,Whangārei,Whangarei District,Percentage,8.5714285714286,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,*-24,Male,Whangārei,Whangarei District,Percentage,6.2146892655367,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,*-24,Female,Whangārei,Whangarei District,Percentage,8.9347079037801,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,25-34,Total,Whangārei,Whangarei District,Count,909,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,25-34,Male,Whangārei,Whangarei District,Count,117,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,25-34,Female,Whangārei,Whangarei District,Count,795,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,25-34,Total,Whangārei,Whangarei District,Percentage,28.8571428571429,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,25-34,Male,Whangārei,Whangarei District,Percentage,22.0338983050847,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,25-34,Female,Whangārei,Whangarei District,Percentage,30.3550973654066,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,35-44,Total,Whangārei,Whangarei District,Count,933,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,35-44,Male,Whangārei,Whangarei District,Count,135,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,35-44,Female,Whangārei,Whangarei District,Count,795,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,35-44,Total,Whangārei,Whangarei District,Percentage,29.6190476190476,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,35-44,Male,Whangārei,Whangarei District,Percentage,25.4237288135593,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,35-44,Female,Whangārei,Whangarei District,Percentage,30.3550973654066,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,45-54,Total,Whangārei,Whangarei District,Count,780,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,45-54,Male,Whangārei,Whangarei District,Count,171,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,45-54,Female,Whangārei,Whangarei District,Count,609,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,45-54,Total,Whangārei,Whangarei District,Percentage,24.7619047619048,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,45-54,Male,Whangārei,Whangarei District,Percentage,32.2033898305085,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,45-54,Female,Whangārei,Whangarei District,Percentage,23.2531500572738,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,55-64,Total,Whangārei,Whangarei District,Count,183,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,55-64,Male,Whangārei,Whangarei District,Count,54,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,55-64,Female,Whangārei,Whangarei District,Count,129,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,55-64,Total,Whangārei,Whangarei District,Percentage,5.8095238095238,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,55-64,Male,Whangārei,Whangarei District,Percentage,10.1694915254237,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,55-64,Female,Whangārei,Whangarei District,Percentage,4.9255441008018,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,65-74,Total,Whangārei,Whangarei District,Count,51,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,65-74,Male,Whangārei,Whangarei District,Count,12,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,65-74,Female,Whangārei,Whangarei District,Count,39,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,65-74,Total,Whangārei,Whangarei District,Percentage,1.6190476190476,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,65-74,Male,Whangārei,Whangarei District,Percentage,2.2598870056497,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,65-74,Female,Whangārei,Whangarei District,Percentage,1.4891179839633,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,75-84,Total,Whangārei,Whangarei District,Count,21,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,75-84,Male,Whangārei,Whangarei District,Count,9,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,75-84,Female,Whangārei,Whangarei District,Count,12,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,75-84,Total,Whangārei,Whangarei District,Percentage,0.6666666666667,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,75-84,Male,Whangārei,Whangarei District,Percentage,1.6949152542373,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,75-84,Female,Whangārei,Whangarei District,Percentage,0.4581901489118,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,85-*,Total,Whangārei,Whangarei District,Count,3,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,85-*,Male,Whangārei,Whangarei District,Count,0,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,85-*,Female,Whangārei,Whangarei District,Count,3,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,85-*,Total,Whangārei,Whangarei District,Percentage,0.0952380952381,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,85-*,Male,Whangārei,Whangarei District,Percentage,0,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,85-*,Female,Whangārei,Whangarei District,Percentage,0.1145475372279,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,Total,Total,Kaipara,Kaipara District,Count,600,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,Total,Male,Kaipara,Kaipara District,Count,123,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,Total,Female,Kaipara,Kaipara District,Count,480,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,Total,Total,Kaipara,Kaipara District,Percentage,100,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,Total,Male,Kaipara,Kaipara District,Percentage,100,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,Total,Female,Kaipara,Kaipara District,Percentage,100,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,*-24,Total,Kaipara,Kaipara District,Count,48,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,*-24,Male,Kaipara,Kaipara District,Count,6,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,*-24,Female,Kaipara,Kaipara District,Count,42,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,*-24,Total,Kaipara,Kaipara District,Percentage,8,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,*-24,Male,Kaipara,Kaipara District,Percentage,4.8780487804878,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,*-24,Female,Kaipara,Kaipara District,Percentage,8.75,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,25-34,Total,Kaipara,Kaipara District,Count,135,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,25-34,Male,Kaipara,Kaipara District,Count,18,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,25-34,Female,Kaipara,Kaipara District,Count,117,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,25-34,Total,Kaipara,Kaipara District,Percentage,22.5,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,25-34,Male,Kaipara,Kaipara District,Percentage,14.6341463414634,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,25-34,Female,Kaipara,Kaipara District,Percentage,24.375,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,35-44,Total,Kaipara,Kaipara District,Count,210,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,35-44,Male,Kaipara,Kaipara District,Count,33,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,35-44,Female,Kaipara,Kaipara District,Count,177,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,35-44,Total,Kaipara,Kaipara District,Percentage,35,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,35-44,Male,Kaipara,Kaipara District,Percentage,26.8292682926829,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,35-44,Female,Kaipara,Kaipara District,Percentage,36.875,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,45-54,Total,Kaipara,Kaipara District,Count,153,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,45-54,Male,Kaipara,Kaipara District,Count,42,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,45-54,Female,Kaipara,Kaipara District,Count,108,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,45-54,Total,Kaipara,Kaipara District,Percentage,25.5,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,45-54,Male,Kaipara,Kaipara District,Percentage,34.1463414634146,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,45-54,Female,Kaipara,Kaipara District,Percentage,22.5,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,55-64,Total,Kaipara,Kaipara District,Count,42,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,55-64,Male,Kaipara,Kaipara District,Count,18,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,55-64,Female,Kaipara,Kaipara District,Count,27,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,55-64,Total,Kaipara,Kaipara District,Percentage,7,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,55-64,Male,Kaipara,Kaipara District,Percentage,14.6341463414634,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,55-64,Female,Kaipara,Kaipara District,Percentage,5.625,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,65-74,Total,Kaipara,Kaipara District,Count,9,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,65-74,Male,Kaipara,Kaipara District,Count,3,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,65-74,Female,Kaipara,Kaipara District,Count,6,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,65-74,Total,Kaipara,Kaipara District,Percentage,1.5,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,65-74,Male,Kaipara,Kaipara District,Percentage,2.4390243902439,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,65-74,Female,Kaipara,Kaipara District,Percentage,1.25,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,75-84,Total,Kaipara,Kaipara District,Count,0,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,75-84,Male,Kaipara,Kaipara District,Count,0,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,75-84,Female,Kaipara,Kaipara District,Count,0,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,75-84,Total,Kaipara,Kaipara District,Percentage,0,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,75-84,Male,Kaipara,Kaipara District,Percentage,0,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,75-84,Female,Kaipara,Kaipara District,Percentage,0,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,85-*,Total,Kaipara,Kaipara District,Count,0,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,85-*,Male,Kaipara,Kaipara District,Count,0,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,85-*,Female,Kaipara,Kaipara District,Count,0,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,85-*,Total,Kaipara,Kaipara District,Percentage,0,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,85-*,Male,Kaipara,Kaipara District,Percentage,0,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,85-*,Female,Kaipara,Kaipara District,Percentage,0,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,Total,Total,Auckland,Auckland,Count,42027,number,Number of families,
